modelo,enc,imp,norm,sel,n_runs,rmse_mean,rmse_std,mae_mean,mae_std,mape_mean,mape_std,r2_mean,r2_std,status
SVR,ordinal,mediana,robust,,1,0.6777707646298471,0.0,0.48909607854495063,0.0,0.11304915552211744,0.0,0.7520227810837377,0.0,ok
SVR,ordinal,mediana,robust,selectkbest,1,0.6777707646298471,0.0,0.48909607854495063,0.0,0.11304915552211744,0.0,0.7520227810837377,0.0,ok
SVR,ordinal,mediana,quantile,,1,0.7139547568724701,0.0,0.5162732603184461,0.0,0.12075126954807316,0.0,0.7246413430869011,0.0,ok
SVR,ordinal,mediana,quantile,selectkbest,1,0.7139547568724701,0.0,0.5162732603184461,0.0,0.12075126954807316,0.0,0.7246413430869011,0.0,ok
SVR,ordinal,mediana,minmax,selectkbest,1,0.7192834204416247,0.0,0.5196444544160125,0.0,0.12342652655007998,0.0,0.7206766729489988,0.0,ok
SVR,ordinal,mediana,minmax,,1,0.7192834204416247,0.0,0.5196444544160125,0.0,0.12342652655007998,0.0,0.7206766729489988,0.0,ok
DecisionTree,ordinal,mediana,,selectfrommodel,1,0.7193981219171663,0.0,0.5720636804144199,0.0,0.14304139337054694,0.0,0.4873560611765713,0.0,ok
LinearRegression,onehot,mediana,,,1,0.7352190565271075,0.0,0.5462383024588524,0.0,0.12649609970610118,0.0,0.6239573175398416,0.0,ok
LinearRegression,onehot,interpolacao,,,1,0.7368956060917217,0.0,0.5491606609996493,0.0,0.12739107137319752,0.0,0.6228373777859268,0.0,ok
LinearRegression,onehot,mediana,,selectkbest,1,0.7405844460204344,0.0,0.5517116483977315,0.0,0.12851211578137642,0.0,0.6151628534754259,0.0,ok
LinearRegression,onehot,interpolacao,,selectkbest,1,0.742344948852727,0.0,0.5548121944137943,0.0,0.1292440282979,0.0,0.6141627803508488,0.0,ok
SVR,ordinal,mediana,minmax,selectfrommodel,1,0.7707844304771218,0.0,0.5631056961410997,0.0,0.13565107637880774,0.0,0.6738564845914582,0.0,ok
SVR,ordinal,mediana,robust,selectfrommodel,1,0.7721061753720309,0.0,0.5638566400476395,0.0,0.13566661119420736,0.0,0.6730385576901426,0.0,ok
LinearRegression,onehot,mediana,,selectfrommodel,1,0.7754388904230378,0.0,0.5987985210180413,0.0,0.14538684818959002,0.0,0.5800504428987514,0.0,ok
